wealth_measure,group,parent_status,tenure_status,wealth,liquid_wealth,total_wealth,ergodic_mass,population_share,within_group_share,group_population_share,total_population_mass,liquidated_housing_discount_1_minus_psi
total_wealth_net_liquidation,all,all,all,0.783606539145,nan,0.783606539145,0.0030564398605242124,0.0030564398605243464,0.003056439860524346,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.814944692439,nan,0.814944692439,0.001944496408767572,0.0019444964087676573,0.0019444964087676569,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.846282845733,nan,0.846282845733,0.0003527743187788542,0.00035277431877886966,0.0003527743187788696,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.860465116279,nan,0.860465116279,0.012693102182486649,0.012693102182487205,0.012693102182487202,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.891803269573,nan,0.891803269573,4.786612591870557e-05,4.786612591870767e-05,4.7866125918707656e-05,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.923141422866,nan,0.923141422866,0.005936911535123746,0.005936911535124006,0.0059369115351240054,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.95447957616,nan,0.95447957616,0.002056313884438426,0.002056313884438516,0.0020563138844385156,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.985817729454,nan,0.985817729454,0.0005887722682675599,0.0005887722682675857,0.0005887722682675855,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,1.0,nan,1.0,0.010464598042871939,0.010464598042872399,0.010464598042872395,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,1.031338153294,nan,1.031338153294,2.431304963499221e-05,2.431304963499328e-05,2.4313049634993272e-05,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,1.062676306587,nan,1.062676306587,0.006776978799254025,0.006776978799254323,0.006776978799254321,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,1.094014459881,nan,1.094014459881,0.0023084652980634637,0.0023084652980635647,0.0023084652980635643,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,1.125352613175,nan,1.125352613175,0.000470888568199933,0.00047088856819995365,0.00047088856819995354,1.0000000000000002,0.9999999999999561,0.94
