path,name,line,end,lines
code/model/intergen_eqscale_seq_optimized/local_panel.py,plot_tradeoffs,1260,1290,31
code/model/intergen_eqscale_seq_optimized/local_panel.py,plot_loss_distribution,1293,1304,12
code/model/intergen_eqscale_seq_optimized/local_panel.py,write_best_case_diagnostics,1307,1337,31
code/model/intergen_eqscale_seq_optimized/local_panel.py,load_panel_records,1340,1347,8
code/model/intergen_eqscale_seq_optimized/local_panel.py,write_csv,1350,1358,9
code/model/intergen_eqscale_seq_optimized/local_panel.py,csv_cell,1361,1371,11
code/model/intergen_eqscale_seq_optimized/local_panel.py,first_scalar,1374,1383,10
code/model/intergen_eqscale_seq_optimized/local_panel.py,none_safe_sub,1386,1391,6
code/model/intergen_eqscale_seq_optimized/local_panel.py,submit_next,176,195,20
code/model/intergen_eqscale_seq_optimized/local_panel.py,evaluate,392,428,37
code/model/intergen_eqscale_seq_optimized/local_panel.py,loss_of,662,663,2
code/model/intergen_eqscale_seq_optimized/local_panel.py,evaluate,665,703,39
code/model/intergen_eqscale_seq_optimized/local_panel.py,can_eval,705,706,2
code/model/intergen_eqscale_seq_optimized/parameters.py,asdict,24,31,8
code/model/intergen_eqscale_seq_optimized/parameters.py,clone_ns,34,35,2
code/model/intergen_eqscale_seq_optimized/parameters.py,setup_parameters,38,303,266
code/model/intergen_eqscale_seq_optimized/parameters.py,build_calibration_setup,306,310,5
code/model/intergen_eqscale_seq_optimized/parameters.py,apply_overrides,313,614,302
code/model/intergen_eqscale_seq_optimized/parameters.py,unsecured_debt_floor,617,621,5
code/model/intergen_eqscale_seq_optimized/parameters.py,build_debt_caps,624,696,73
code/model/intergen_eqscale_seq_optimized/parameters.py,finalize_location_choice_spec,699,722,24
code/model/intergen_eqscale_seq_optimized/parameters.py,set_income_given_w_and_pension,725,738,14
code/model/intergen_eqscale_seq_optimized/parameters.py,resolve_pension_value,741,754,14
code/model/intergen_eqscale_seq_optimized/parameters.py,compute_stationary_worker_income,757,766,10
code/model/intergen_eqscale_seq_optimized/parameters.py,get_income_age_profile,769,788,20
code/model/intergen_eqscale_seq_optimized/parameters.py,get_fecundity_by_age,791,815,25
code/model/intergen_eqscale_seq_optimized/parameters.py,fecundity_active,818,819,2
code/model/intergen_eqscale_seq_optimized/parameters.py,readiness_gate_active,822,824,3
code/model/intergen_eqscale_seq_optimized/parameters.py,readiness_cumulative_probability,827,836,10
code/model/intergen_eqscale_seq_optimized/parameters.py,readiness_transition_hazard,839,849,11
code/model/intergen_eqscale_seq_optimized/parameters.py,readiness_childless_states,852,854,3
code/model/intergen_eqscale_seq_optimized/parameters.py,readiness_settled_state,857,859,3
code/model/intergen_eqscale_seq_optimized/parameters.py,independent_child_maturation_active,862,864,3
code/model/intergen_eqscale_seq_optimized/parameters.py,configure_child_state_process,867,888,22
code/model/intergen_eqscale_seq_optimized/parameters.py,make_independent_child_count_transition_matrix,891,922,32
code/model/intergen_eqscale_seq_optimized/parameters.py,make_child_transition_matrix_with_matured,925,949,25
code/model/intergen_eqscale_seq_optimized/parameters.py,make_persistent_transition_matrix,952,957,6
code/model/intergen_eqscale_seq_optimized/parameters.py,normalize_transition_matrix,960,974,15
code/model/intergen_eqscale_seq_optimized/parameters.py,_coerce_value,977,980,4
code/model/intergen_eqscale_seq_optimized/parity_panel_e1.py,solve,9,10,2
code/model/intergen_eqscale_seq_optimized/parity_panel_e1.py,main,11,16,6
code/model/intergen_eqscale_seq_optimized/production_profile.py,production_profile_metadata,93,120,28
code/model/intergen_eqscale_seq_optimized/production_profile.py,production_profile_overrides,123,167,45
code/model/intergen_eqscale_seq_optimized/production_profile.py,comparison_arm_switches,170,178,9
code/model/intergen_eqscale_seq_optimized/production_profile.py,validate_frozen_source_theta,181,191,11
code/model/intergen_eqscale_seq_optimized/production_profile.py,validate_production_profile,194,231,38
code/model/intergen_eqscale_seq_optimized/promotion_collect_e1.py,main,6,13,8
code/model/intergen_eqscale_seq_optimized/promotion_worker_e1.py,jsonable,12,17,6
code/model/intergen_eqscale_seq_optimized/promotion_worker_e1.py,evaluate,19,28,10
code/model/intergen_eqscale_seq_optimized/promotion_worker_e1.py,paired_fixed_price,30,33,4
code/model/intergen_eqscale_seq_optimized/promotion_worker_e1.py,main,35,53,19
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,load_runtime,140,154,15
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,transform,157,171,15
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,inverse,174,189,16
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,parse_args,192,225,34
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,seed_reproduction_gate,228,265,38
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,apply_probe_seed_overrides,268,283,16
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,build_seed_theta,286,343,58
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,theta_from_unit,346,351,6
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,unit_from_theta,354,361,8
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,survival_schedule,364,370,7
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,common_overrides,373,450,78
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,objective_loss,453,467,15
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,target_fit,470,484,15
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,main,487,831,345
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,score,701,702,2
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,can_eval,704,705,2
code/model/intergen_eqscale_seq_optimized/run_e1_chain.py,evaluate,707,735,29
code/model/intergen_eqscale_seq_optimized/run_e5_wealth_slice.py,comma_floats,22,26,5
code/model/intergen_eqscale_seq_optimized/run_e5_wealth_slice.py,parse_args,29,39,11
code/model/intergen_eqscale_seq_optimized/run_e5_wealth_slice.py,load_e5_chain,42,53,12
code/model/intergen_eqscale_seq_optimized/run_e5_wealth_slice.py,load_winner_theta,56,61,6
code/model/intergen_eqscale_seq_optimized/run_e5_wealth_slice.py,existing_nodes,64,68,5
code/model/intergen_eqscale_seq_optimized/run_e5_wealth_slice.py,main,71,108,38
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,write_csv,29,34,6
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,weighted_quantile,37,43,7
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,load_chain,46,54,9
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,theta,57,60,4
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,solve,63,68,6
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,verify,71,86,16
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,ages,89,90,2
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,state_arrays,93,101,9
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,fertility_anatomy,104,143,40
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,childless_tables,146,170,25
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,entry_surface,173,192,20
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,child_cost,195,226,32
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,passthrough,229,243,15
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,wealth_anatomy,246,262,17
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,loss_forensics,265,276,12
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,main,279,293,15
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,util,211,214,4
code/model/intergen_eqscale_seq_optimized/run_e5f_floor_strict_smoke.py,parse_args,20,24,5
code/model/intergen_eqscale_seq_optimized/run_e5f_floor_strict_smoke.py,main,27,118,92
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,write_csv,34,40,7
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,load_chain,43,53,11
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,load_winner,56,59,4
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,terminal_decay_for_probability,62,75,14
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,schedules,78,116,39
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,target_fit,119,135,17
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,solve_case,138,159,22
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,verify_baseline,162,185,24
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,main,188,308,121
code/model/intergen_eqscale_seq_optimized/run_e6b_income_level_diagnostic.py,write_csv,30,36,7
code/model/intergen_eqscale_seq_optimized/run_e6b_income_level_diagnostic.py,load_chain,39,49,11
code/model/intergen_eqscale_seq_optimized/run_e6b_income_level_diagnostic.py,load_winner,52,55,4
code/model/intergen_eqscale_seq_optimized/run_e6b_income_level_diagnostic.py,variants,58,66,9
code/model/intergen_eqscale_seq_optimized/run_e6b_income_level_diagnostic.py,verify_baseline,69,85,17
code/model/intergen_eqscale_seq_optimized/run_e6b_income_level_diagnostic.py,main,88,214,127
code/model/intergen_eqscale_seq_optimized/run_e6c_projection_diagnostic.py,parse_args,29,33,5
code/model/intergen_eqscale_seq_optimized/run_e6c_projection_diagnostic.py,write_csv,36,45,10
code/model/intergen_eqscale_seq_optimized/run_e6c_projection_diagnostic.py,main,48,205,158
code/model/intergen_eqscale_seq_optimized/run_e6c_timing_jacobian.py,parse_args,33,39,7
code/model/intergen_eqscale_seq_optimized/run_e6c_timing_jacobian.py,configure_environment,42,52,11
code/model/intergen_eqscale_seq_optimized/run_e6c_timing_jacobian.py,write_csv,55,64,10
code/model/intergen_eqscale_seq_optimized/run_e6c_timing_jacobian.py,main,67,230,164
code/model/intergen_eqscale_seq_optimized/run_family_gap_scan.py,main,59,94,36
code/model/intergen_eqscale_seq_optimized/run_fertility_frontier_scan.py,cell_spec,67,88,22
code/model/intergen_eqscale_seq_optimized/run_fertility_frontier_scan.py,cell_overrides,91,136,46
code/model/intergen_eqscale_seq_optimized/run_fertility_frontier_scan.py,main,139,190,52
code/model/intergen_eqscale_seq_optimized/run_seq_smoke.py,parse_args,61,65,5
code/model/intergen_eqscale_seq_optimized/run_seq_smoke.py,target_fit,68,84,17
code/model/intergen_eqscale_seq_optimized/run_seq_smoke.py,compare_gate0,87,103,17
