earnings_tercile,wealth_quintile,b_model_units,z_state_1based,annual_gross_income_model_units,joint_probability,R_b_plus_Y,cashflow_positive,within_selected_B_grid_support
3,1,-0.2603317967059291,11,1.75596929437153,0.01225107182212834,1.451417913554919,True,True
3,1,-0.2603317967059291,12,2.570701606465538,0.004454935208046669,2.266150225648927,True,True
3,1,-0.2603317967059291,13,3.763452339780069,0.001113733802011667,3.458900958963458,True,True
3,1,-0.2603317967059291,14,5.509613981713583,0.0001713436618479488,5.205062600896972,True,True
3,1,-0.2603317967059291,15,8.065957394127043,1.22388329891392e-05,7.761406013310432,True,True
3,2,0.0233747821765479,1,0.0388301798152725,0,0.06617536883264251,True,True
3,2,0.0233747821765479,2,0.05684655531872104,0,0.08419174433609104,True,True
3,2,0.0233747821765479,3,0.0832221449135139,0,0.1105673339308839,True,True
3,2,0.0233747821765479,4,0.1218354457042188,0,0.1491806347215888,True,True
3,2,0.0233747821765479,5,0.1783644947552324,0,0.2057096837726025,True,True
3,2,0.0233747821765479,6,0.2611218172626402,0,0.2884670062800102,True,True
3,2,0.0233747821765479,7,0.3822767728751881,0,0.4096219618925581,True,True
3,2,0.0233747821765479,8,0.5596450446455145,0,0.5869902336628845,True,True
3,2,0.0233747821765479,9,0.8193084126995582,0.02414293236706893,0.8466536017169283,True,True
3,2,0.0233747821765479,10,1.19945004703018,0.02427729679136589,1.22679523604755,True,True
3,2,0.0233747821765479,11,1.75596929437153,0.01213864839568295,1.7833144833889,True,True
3,2,0.0233747821765479,12,2.570701606465538,0.004414053962066527,2.598046795482908,True,True
3,2,0.0233747821765479,13,3.763452339780069,0.001103513490516632,3.79079752879744,True,True
3,2,0.0233747821765479,14,5.509613981713583,0.0001697713062333279,5.536959170730953,True,True
3,2,0.0233747821765479,15,8.065957394127043,1.212652187380914e-05,8.093302583144412,True,True
3,3,0.08503363378728315,1,0.0388301798152725,0,0.1383075041892309,True,True
3,3,0.08503363378728315,2,0.05684655531872104,0,0.1563238796926795,True,True
3,3,0.08503363378728315,3,0.0832221449135139,0,0.1826994692874723,True,True
3,3,0.08503363378728315,4,0.1218354457042188,0,0.2213127700781772,True,True
3,3,0.08503363378728315,5,0.1783644947552324,0,0.2778418191291909,True,True
3,3,0.08503363378728315,6,0.2611218172626402,0,0.3605991416365987,True,True
3,3,0.08503363378728315,7,0.3822767728751881,0,0.4817540972491465,True,True
3,3,0.08503363378728315,8,0.5596450446455145,0,0.6591223690194729,True,True
3,3,0.08503363378728315,9,0.8193084126995582,0.02433619451358333,0.9187857370735166,True,True
3,3,0.08503363378728315,10,1.19945004703018,0.02447163451381532,1.298927371404138,True,True
3,3,0.08503363378728315,11,1.75596929437153,0.01223581725690766,1.855446618745488,True,True
3,3,0.08503363378728315,12,2.570701606465538,0.004449388093420967,2.670178930839497,True,True
3,3,0.08503363378728315,13,3.763452339780069,0.001112347023355242,3.862929664154028,True,True
3,3,0.08503363378728315,14,5.509613981713583,0.0001711303112854218,5.609091306087541,True,True
3,3,0.08503363378728315,15,8.065957394127043,1.222359366324441e-05,8.165434718501002,True,True
3,4,0.2260782518101511,1,0.0388301798152725,0,0.3033097579252134,True,True
3,4,0.2260782518101511,2,0.05684655531872104,0,0.3213261334286619,True,True
3,4,0.2260782518101511,3,0.0832221449135139,0,0.3477017230234548,True,True
