f_c_y,control,K,rows,unsupported
1987,0,-12,15,0
1987,0,-11,22,0
1987,0,-10,29,0
1987,0,-9,35,0
1987,0,-8,68,0
1987,0,-7,83,0
1987,0,-6,87,0
1987,0,-5,98,0
1987,0,-4,109,0
1987,0,-3,126,0
1987,0,-2,143,0
1987,0,-1,147,0
1987,0,0,170,0
1987,0,1,168,0
1987,0,2,164,0
1987,0,3,159,0
1987,0,4,158,0
1987,0,5,157,0
1987,0,6,160,0
1987,0,7,168,0
1987,0,8,166,0
1987,0,9,156,0
1987,0,10,110,0
1987,0,12,117,0
1987,0,14,110,0
1987,0,16,110,0
1987,0,18,110,0
1987,0,20,107,0
1987,0,22,107,0
1987,0,24,99,0
1987,0,26,96,0
1987,0,28,96,0
1987,0,30,93,0
1987,0,32,86,0
1988,0,-17,1,0
1988,0,-16,1,0
1988,0,-15,3,0
1988,0,-14,3,0
1988,0,-13,9,0
1988,0,-12,11,0
1988,0,-11,17,0
1988,0,-10,24,0
1988,0,-9,43,0
1988,0,-8,54,0
1988,0,-7,66,0
1988,0,-6,78,0
1988,0,-5,94,0
1988,0,-4,116,0
1988,0,-3,138,0
1988,0,-2,139,0
1988,0,-1,149,0
1988,0,0,170,0
1988,0,1,162,0
1988,0,2,163,0
1988,0,3,157,0
1988,0,4,153,0
1988,0,5,148,0
1988,0,6,155,0
1988,0,7,150,0
1988,0,8,141,0
1988,0,9,100,0
1988,0,11,104,0
1988,0,13,104,0
1988,0,15,103,0
1988,0,17,101,0
1988,0,19,101,0
1988,0,21,100,0
1988,0,23,87,0
1988,0,25,93,0
1988,0,27,90,0
1988,0,29,90,0
1988,0,31,85,0
1989,0,-19,1,0
1989,0,-18,1,0
1989,0,-17,2,0
1989,0,-16,6,0
1989,0,-15,8,0
1989,0,-14,13,0
1989,0,-13,18,0
1989,0,-12,25,0
1989,0,-11,29,0
1989,0,-10,48,0
1989,0,-9,58,0
1989,0,-8,69,0
1989,0,-7,77,0
1989,0,-6,86,0
1989,0,-5,102,0
1989,0,-4,110,0
1989,0,-3,116,0
1989,0,-2,127,0
1989,0,-1,132,0
1989,0,0,146,0
1989,0,1,150,0
1989,0,2,144,0
1989,0,3,148,0
1989,0,4,142,0
1989,0,5,143,0
1989,0,6,138,0
1989,0,7,126,0
1989,0,8,97,0
1989,0,10,94,0
1989,0,12,92,0
1989,0,14,90,0
1989,0,16,90,0
1989,0,18,95,0
1989,0,20,88,0
1989,0,22,88,0
1989,0,24,87,0
1989,0,26,82,0
1989,0,28,79,0
1989,0,30,74,0
1990,0,-22,1,0
1990,0,-21,1,0
1990,0,-20,1,0
1990,0,-19,1,0
1990,0,-18,1,0
1990,0,-17,2,0
1990,0,-16,3,0
1990,0,-15,8,0
1990,0,-14,9,0
1990,0,-13,14,0
1990,0,-12,17,0
1990,0,-11,30,0
1990,0,-10,40,0
1990,0,-9,46,0
1990,0,-8,50,0
1990,0,-7,63,0
1990,0,-6,68,0
1990,0,-5,78,0
1990,0,-4,78,0
1990,0,-3,90,0
1990,0,-2,102,0
1990,0,-1,121,0
1990,0,0,141,0
1990,0,1,138,0
1990,0,2,141,0
1990,0,3,131,0
1990,0,4,140,0
1990,0,5,128,0
1990,0,6,124,0
1990,0,7,98,0
1990,0,9,101,0
1990,0,11,99,0
1990,0,13,98,0
1990,0,15,95,0
1990,0,17,93,0
1990,0,19,94,0
1990,0,21,91,0
1990,0,23,87,0
1990,0,25,81,0
1990,0,27,82,0
1990,0,29,77,0
1991,0,-19,1,0
1991,0,-18,2,0
1991,0,-17,2,0
1991,0,-16,5,0
1991,0,-15,5,0
1991,0,-14,6,0
1991,0,-13,10,0
1991,0,-12,27,0
1991,0,-11,34,0
1991,0,-10,36,0
1991,0,-9,49,0
1991,0,-8,64,0
1991,0,-7,74,0
1991,0,-6,85,0
1991,0,-5,93,0
1991,0,-4,96,0
1991,0,-3,114,0
1991,0,-2,123,0
1991,0,-1,139,0
1991,0,0,157,0
1991,0,1,149,0
1991,0,2,147,0
1991,0,3,151,0
1991,0,4,146,0
1991,0,5,144,0
1991,0,6,110,0
1991,0,8,109,0
1991,0,10,109,0
1991,0,12,109,0
1991,0,14,104,0
1991,0,16,98,0
1991,0,18,93,0
1991,0,20,92,0
1991,0,22,93,0
1991,0,24,88,0
1991,0,26,87,0
1991,0,28,85,0
1992,0,-17,4,0
1992,0,-16,4,0
1992,0,-15,4,0
1992,0,-14,5,0
1992,0,-13,20,0
1992,0,-12,28,0
1992,0,-11,34,0
1992,0,-10,35,0
1992,0,-9,42,0
1992,0,-8,48,0
1992,0,-7,71,0
1992,0,-6,74,0
1992,0,-5,86,0
1992,0,-4,91,0
1992,0,-3,101,0
1992,0,-2,114,0
1992,0,-1,125,0
1992,0,0,142,0
1992,0,1,140,0
1992,0,2,142,0
1992,0,3,133,0
1992,0,4,130,0
1992,0,5,106,0
1992,0,7,102,0
1992,0,9,101,0
1992,0,11,97,0
1992,0,13,97,0
1992,0,15,98,0
1992,0,17,100,0
1992,0,19,97,0
1992,0,21,97,0
1992,0,23,91,0
1992,0,25,90,0
1992,0,27,85,0
1993,0,-23,1,0
1993,0,-22,1,0
1993,0,-21,2,0
1993,0,-20,2,0
1993,0,-19,3,0
1993,0,-18,5,0
1993,0,-17,5,0
1993,0,-16,5,0
1993,0,-15,8,0
1993,0,-14,19,0
1993,0,-13,22,0
1993,0,-12,24,0
1993,0,-11,30,0
1993,0,-10,41,0
1993,0,-9,45,0
1993,0,-8,51,0
1993,0,-7,58,0
1993,0,-6,67,0
1993,0,-5,72,0
1993,0,-4,82,0
1993,0,-3,98,0
1993,0,-2,110,0
1993,0,-1,120,0
1993,0,0,145,0
1993,0,1,155,0
1993,0,2,144,0
1993,0,3,140,0
1993,0,4,116,0
1993,0,6,113,0
1993,0,8,117,0
1993,0,10,116,0
1993,0,12,112,0
1993,0,14,112,0
1993,0,16,108,0
1993,0,18,102,0
1993,0,20,101,0
1993,0,22,98,0
1993,0,24,92,0
1993,0,26,93,0
1994,0,-19,3,0
1994,0,-18,4,0
1994,0,-17,5,0
1994,0,-16,7,0
1994,0,-15,12,0
1994,0,-14,14,0
1994,0,-13,20,0
1994,0,-12,30,0
1994,0,-11,34,0
1994,0,-10,40,0
1994,0,-9,46,0
1994,0,-8,53,0
1994,0,-7,59,0
1994,0,-6,69,0
1994,0,-5,71,0
1994,0,-4,82,0
1994,0,-3,92,0
1994,0,-2,103,0
1994,0,-1,128,0
1994,0,0,161,0
1994,0,1,161,0
1994,0,2,149,0
1994,0,3,116,0
1994,0,5,103,0
1994,0,7,108,0
1994,0,9,110,0
1994,0,11,110,0
1994,0,13,104,0
1994,0,15,101,0
1994,0,17,100,0
1994,0,19,98,0
1994,0,21,91,0
1994,0,23,91,0
1994,0,25,87,0
1995,0,-21,1,0
1995,0,-20,1,0
1995,0,-19,1,0
1995,0,-18,4,0
1995,0,-17,3,0
1995,0,-16,14,0
1995,0,-15,12,0
1995,0,-14,12,0
1995,0,-13,13,0
1995,0,-12,15,0
1995,0,-11,28,0
1995,0,-10,35,0
1995,0,-9,42,0
1995,0,-8,53,0
1995,0,-7,61,0
1995,0,-6,66,0
1995,0,-5,76,0
1995,0,-4,87,0
1995,0,-3,96,0
1995,0,-2,113,0
1995,0,-1,146,0
1995,0,0,163,0
1995,0,1,158,0
1995,0,2,124,0
1995,0,4,123,0
1995,0,6,122,0
1995,0,8,120,0
1995,0,10,121,0
1995,0,12,120,0
1995,0,14,113,0
1995,0,16,112,0
1995,0,18,109,0
1995,0,20,105,0
1995,0,22,101,0
1995,0,24,96,0
1996,0,-21,3,0
1996,0,-20,3,0
1996,0,-19,3,0
1996,0,-18,4,0
1996,0,-17,7,0
1996,0,-16,8,0
1996,0,-15,10,0
1996,0,-14,16,0
1996,0,-13,17,0
1996,0,-12,19,0
1996,0,-11,22,0
1996,0,-10,24,0
1996,0,-9,31,0
1996,0,-8,37,0
1996,0,-7,42,0
1996,0,-6,46,0
1996,0,-5,53,0
1996,0,-4,62,0
1996,0,-3,79,0
1996,0,-2,103,0
1996,0,-1,103,0
1996,0,0,118,0
1996,0,1,104,0
1996,0,3,100,0
1996,0,5,101,0
1996,0,7,99,0
1996,0,9,98,0
1996,0,11,93,0
1996,0,13,96,0
1996,0,15,95,0
1996,0,17,88,0
1996,0,19,80,0
1996,0,21,83,0
1996,0,23,78,0
1997,0,-22,1,0
1997,0,-21,1,0
1997,0,-20,2,0
1997,0,-19,2,0
1997,0,-18,6,0
1997,0,-17,7,0
1997,0,-16,7,0
1997,0,-15,8,0
1997,0,-14,15,0
1997,0,-13,14,0
1997,0,-12,16,0
1997,0,-11,20,0
1997,0,-10,19,0
1997,0,-9,26,0
1997,0,-8,30,0
1997,0,-7,34,0
1997,0,-6,38,0
1997,0,-5,50,0
1997,0,-4,62,0
1997,0,-3,76,0
1997,0,-2,80,0
1997,0,-1,85,0
1997,0,0,126,0
1997,0,2,123,0
1997,0,4,122,0
1997,0,6,122,0
1997,0,8,124,0
1997,0,10,114,0
1997,0,12,114,0
1997,0,14,112,0
1997,0,16,108,0
1997,0,18,96,0
1997,0,20,96,0
1997,0,22,89,0
1998,0,-20,1,0
1998,0,-19,6,0
1998,0,-18,5,0
1998,0,-17,6,0
1998,0,-16,7,0
