cell,form,psi_child,kappa_fert,gamma_e,CF,childless,joint_distance,own_family_gap,share_3plus,pp12_flow,pp23_flow,mean_age_first_birth,market_residual
68,sqrt,0.5,6.0,0.0,1.7065812167241279,0.05954537346979406,0.47900730474468584,0.09173866025074429,0.19248485216732208,0.5280933100605955,0.38756811798739627,24.74499119757819,7.483411495706862e-06
69,sqrt,0.5,10.0,0.0,1.6582818298232351,0.06842265441477562,0.42289535517542043,0.08840950619477667,0.17811145087855604,0.5124088251637894,0.37312669461827674,24.98530291172494,8.569012289173128e-07
70,sqrt,0.5,15.9109,0.0,1.630619429213861,0.07384337277961563,0.391161459692001,0.08677347676310748,0.17017639974706197,0.5033876870003807,0.36501633775423326,25.12125403644266,2.6060382648028674e-06
71,sqrt,1.0,0.5,0.0,2.541288153980543,6.616901027941778e-05,1.104900239989206,0.2071627337360466,0.5563299813793041,0.7625428053102036,0.7296204104328332,19.377687784390293,6.032127855761025e-06
72,sqrt,1.0,1.0,0.0,2.4000720355905165,0.0010117197542759077,1.052438281953871,0.17856169158162438,0.47867866210767024,0.7316738768045215,0.6548866311702825,20.63190196640578,5.017343072559485e-06
73,sqrt,1.0,1.8,0.0,2.205006043591097,0.006486843570106867,0.9545731726312334,0.14211491929707243,0.38215185660850337,0.6808971616839069,0.5649120355629044,21.949373717617277,1.090128411770173e-05
74,sqrt,1.0,3.0,0.0,2.0232431161523623,0.018429147144825766,0.8165654674944797,0.11733831165785563,0.3037634237781207,0.627976542571516,0.4927996653918398,23.042730792361358,6.989193098221147e-07
75,sqrt,1.0,6.0,0.0,1.829505212950519,0.04024566721976331,0.6198105402884531,0.10003203708954794,0.23204135262088643,0.5677421482412429,0.4258475673433926,24.108659482772737,8.829391132032032e-06
76,sqrt,1.0,10.0,0.0,1.7367913320532404,0.05441478649686057,0.5138210900208722,0.09308294905796122,0.2017738573616906,0.5379977510888663,0.3966283601102285,24.589107482613546,8.633761481264534e-06
77,sqrt,1.0,15.9109,0.0,1.6815193016336,0.0640972669838375,0.4495580197926069,0.08952402104332552,0.1849204295893222,0.5200625553594137,0.3799256298153774,24.867885852633787,1.8638918751461938e-06
