f_c_y,control,K,rows
1996,0,7,21
1996,0,9,17
1996,0,11,16
1996,0,13,13
1996,0,15,12
1996,0,17,15
1996,0,19,13
1996,0,21,14
1996,0,23,12
1997,0,-22,1
1997,0,-21,1
1997,0,-19,1
1997,0,-18,1
1997,0,-16,3
1997,0,-12,3
1997,0,-11,3
1997,0,-10,3
1997,0,-9,3
1997,0,-8,3
1997,0,-7,8
1997,0,-6,4
1997,0,-5,5
1997,0,-4,11
1997,0,-3,9
1997,0,-2,6
1997,0,-1,15
1997,0,0,15
1997,0,2,19
1997,0,4,23
1997,0,6,29
1997,0,8,32
1997,0,10,23
1997,0,12,22
1997,0,14,23
1997,0,16,14
1997,0,18,11
1997,0,20,12
1997,0,22,15
1998,0,-11,1
1998,0,-10,2
1998,0,-9,1
1998,0,-8,3
1998,0,-7,3
1998,0,-6,4
1998,0,-5,8
1998,0,-4,7
1998,0,-3,7
1998,0,-2,11
1998,0,-1,14
1998,0,1,15
1998,0,3,12
1998,0,5,18
1998,0,7,18
1998,0,9,17
1998,0,11,11
1998,0,13,11
1998,0,15,10
1998,0,17,10
1998,0,19,9
1998,0,21,8
1999,0,-14,1
1999,0,-13,1
1999,0,-12,1
1999,0,-11,3
1999,0,-9,1
1999,0,-8,2
1999,0,-7,3
1999,0,-6,3
1999,0,-5,5
1999,0,-4,7
1999,0,-3,8
1999,0,-2,8
1999,0,0,23
1999,0,2,24
1999,0,4,36
1999,0,6,31
1999,0,8,30
1999,0,10,26
1999,0,12,22
1999,0,14,25
1999,0,16,24
1999,0,18,16
1999,0,20,14
2000,0,-15,2
2000,0,-13,3
2000,0,-12,5
2000,0,-11,2
2000,0,-10,3
2000,0,-9,4
2000,0,-8,3
2000,0,-7,7
2000,0,-6,8
2000,0,-5,5
2000,0,-4,8
2000,0,-3,9
2000,0,-1,22
2000,0,1,20
2000,0,3,25
2000,0,5,21
2000,0,7,21
2000,0,9,19
2000,0,11,17
2000,0,13,11
2000,0,15,14
2000,0,17,15
2000,0,19,12
2001,0,-16,1
2001,0,-15,2
2001,0,-11,1
2001,0,-10,1
2001,0,-9,2
2001,0,-8,4
2001,0,-7,4
2001,0,-6,4
2001,0,-5,6
2001,0,-4,12
2001,0,-2,17
2001,0,0,22
2001,0,2,34
2001,0,4,34
2001,0,6,27
2001,0,8,25
2001,0,10,18
2001,0,12,26
2001,0,14,13
2001,0,16,22
2001,0,18,16
2002,0,-17,1
2002,0,-15,1
2002,0,-13,1
2002,0,-12,2
2002,0,-11,1
2002,0,-9,4
2002,0,-8,5
2002,0,-7,2
2002,0,-6,6
2002,0,-5,8
2002,0,-3,16
2002,0,-1,24
2002,0,1,37
2002,0,3,35
2002,0,5,26
2002,0,7,25
2002,0,9,23
2002,0,11,23
2002,0,13,24
2002,0,15,19
2002,0,17,13
2003,0,-17,1
2003,0,-16,1
2003,0,-15,1
2003,0,-14,2
2003,0,-13,1
2003,0,-12,3
2003,0,-11,4
2003,0,-10,4
2003,0,-9,4
2003,0,-8,6
2003,0,-7,5
2003,0,-6,5
2003,0,-4,11
2003,0,-2,19
2003,0,0,24
2003,0,2,29
2003,0,4,24
2003,0,6,27
2003,0,8,29
2003,0,10,20
2003,0,12,20
2003,0,14,17
2003,0,16,14
2004,0,-15,1
2004,0,-14,2
2004,0,-13,2
2004,0,-12,2
2004,0,-11,4
2004,0,-10,5
2004,0,-9,6
2004,0,-8,6
2004,0,-7,8
2004,0,-5,11
2004,0,-3,24
2004,0,-1,39
2004,0,1,32
2004,0,3,46
2004,0,5,29
2004,0,7,26
2004,0,9,31
2004,0,11,28
2004,0,13,21
2004,0,15,16
2005,0,-13,1
2005,0,-12,3
2005,0,-11,5
2005,0,-10,4
2005,0,-9,6
2005,0,-8,9
2005,0,-6,16
2005,0,-4,26
2005,0,-2,38
2005,0,0,45
2005,0,2,45
2005,0,4,45
2005,0,6,35
2005,0,8,30
2005,0,10,22
2005,0,12,23
2005,0,14,19
2006,0,-15,1
2006,0,-13,1
2006,0,-12,1
2006,0,-11,2
2006,0,-10,1
2006,0,-9,2
2006,0,-7,4
2006,0,-5,10
2006,0,-3,16
2006,0,-1,24
2006,0,1,31
2006,0,3,26
2006,0,5,21
2006,0,7,23
2006,0,9,25
2006,0,11,11
2006,0,13,17
2007,0,-14,1
2007,0,-13,1
2007,0,-12,2
2007,0,-11,3
2007,0,-10,6
2007,0,-8,8
2007,0,-6,11
2007,0,-4,23
2007,0,-2,30
2007,0,0,32
2007,0,2,45
2007,0,4,40
2007,0,6,38
2007,0,8,30
2007,0,10,22
2007,0,12,15
2008,0,-22,1
2008,0,-17,1
2008,0,-15,1
2008,0,-14,1
2008,0,-13,1
2008,0,-12,1
2008,0,-11,2
2008,0,-9,4
2008,0,-7,4
2008,0,-5,21
2008,0,-3,26
2008,0,-1,33
2008,0,1,35
2008,0,3,35
2008,0,5,32
2008,0,7,24
2008,0,9,23
2008,0,11,33
2009,0,-15,1
2009,0,-14,1
2009,0,-13,1
2009,0,-12,1
2009,0,-10,6
2009,0,-8,10
2009,0,-6,11
2009,0,-4,25
2009,0,-2,35
2009,0,0,48
2009,0,2,44
2009,0,4,42
2009,0,6,46
2009,0,8,29
2009,0,10,28
2010,0,-19,1
2010,0,-17,1
2010,0,-16,1
2010,0,-15,2
2010,0,-14,1
2010,0,-13,3
2010,0,-11,4
2010,0,-9,8
2010,0,-7,16
2010,0,-5,23
2010,0,-3,33
2010,0,-1,39
2010,0,1,46
2010,0,3,43
2010,0,5,41
2010,0,7,33
2010,0,9,32
2011,0,-18,1
2011,0,-17,1
2011,0,-16,1
2011,0,-15,1
2011,0,-12,1
2011,0,-10,1
2011,0,-8,3
2011,0,-6,6
2011,0,-4,15
2011,0,-2,20
2011,0,0,28
2011,0,2,18
2011,0,4,28
2011,0,6,23
2011,0,8,10
2012,0,-16,1
2012,0,-11,4
2012,0,-9,8
2012,0,-7,17
2012,0,-5,23
2012,0,-3,29
2012,0,-1,40
2012,0,1,36
2012,0,3,41
2012,0,5,30
2012,0,7,30
2013,0,-14,1
2013,0,-10,4
2013,0,-8,11
2013,0,-6,16
2013,0,-4,18
2013,0,-2,20
2013,0,0,29
2013,0,2,28
2013,0,4,27
2013,0,6,20
2014,0,-13,1
2014,0,-11,5
2014,0,-9,8
2014,0,-7,15
2014,0,-5,16
2014,0,-3,20
2014,0,-1,35
2014,0,1,35
2014,0,3,25
2014,0,5,26
2015,0,-18,2
2015,0,-16,2
2015,0,-12,7
2015,0,-10,5
2015,0,-8,10
2015,0,-6,13
2015,0,-4,23
2015,0,-2,25
2015,0,0,30
2015,0,2,32
2015,0,4,23
2016,0,-11,7
2016,0,-9,12
2016,0,-7,15
2016,0,-5,20
2016,0,-3,23
2016,0,-1,30
2016,0,1,21
2016,0,3,22
2017,0,-14,1
2017,0,-12,5
2017,0,-10,10
2017,0,-8,9
2017,0,-6,16
2017,0,-4,24
2017,0,-2,28
2017,0,0,35
2017,0,2,24
2018,0,-17,1
2018,0,-15,3
2018,0,-13,2
2018,0,-11,6
2018,0,-9,8
2018,0,-7,11
2018,0,-5,14
2018,0,-3,19
2018,0,-1,27
2018,0,1,31
2019,0,-22,1
2019,0,-16,1
2019,0,-14,1
2019,0,-12,4
2019,0,-10,1
2019,0,-8,3
2019,0,-6,5
2019,0,-4,8
2019,0,-2,6
2019,0,0,6
,1,,4818
