f_c_y,K,lastcohort,rows
2011,-4,0,28
2011,-2,0,45
2011,0,0,69
2011,2,0,83
2011,4,0,96
2011,6,0,103
2011,8,0,96
2012,-16,0,1
2012,-15,0,1
2012,-13,0,1
2012,-11,0,6
2012,-9,0,10
2012,-7,0,21
2012,-5,0,33
2012,-3,0,53
2012,-1,0,87
2012,1,0,102
2012,3,0,119
2012,5,0,135
2012,7,0,123
2013,-26,0,1
2013,-25,0,1
2013,-24,0,1
2013,-23,0,1
2013,-22,0,1
2013,-21,0,1
2013,-20,0,1
2013,-19,0,1
2013,-18,0,1
2013,-17,0,1
2013,-16,0,1
2013,-14,0,3
2013,-12,0,5
2013,-10,0,7
2013,-8,0,14
2013,-6,0,24
2013,-4,0,45
2013,-2,0,62
2013,0,0,85
2013,2,0,101
2013,4,0,120
2013,6,0,104
2014,-15,0,1
2014,-13,0,1
2014,-11,0,5
2014,-9,0,10
2014,-7,0,21
2014,-5,0,30
2014,-3,0,47
2014,-1,0,75
2014,1,0,100
2014,3,0,112
2014,5,0,99
2015,-18,0,2
2015,-16,0,2
2015,-14,0,4
2015,-12,0,9
2015,-10,0,13
2015,-8,0,17
2015,-6,0,27
2015,-4,0,43
2015,-2,0,61
2015,0,0,81
2015,2,0,94
2015,4,0,85
2016,-13,0,2
2016,-11,0,9
2016,-9,0,15
2016,-7,0,27
2016,-5,0,37
2016,-3,0,55
2016,-1,0,75
2016,1,0,99
2016,3,0,93
2017,-16,0,1
2017,-14,0,3
2017,-12,0,7
2017,-10,0,14
2017,-8,0,19
2017,-6,0,28
2017,-4,0,52
2017,-2,0,71
2017,0,0,93
2017,2,0,88
2018,-17,0,1
2018,-15,0,3
2018,-13,0,3
2018,-11,0,8
2018,-9,0,12
2018,-7,0,23
2018,-5,0,34
2018,-3,0,54
2018,-1,0,80
2018,1,0,73
2019,-22,1,1
2019,-20,1,1
2019,-18,1,1
2019,-16,1,2
2019,-14,1,2
2019,-12,1,5
2019,-10,1,5
2019,-8,1,7
2019,-6,1,11
2019,-4,1,14
2019,-2,1,20
2019,0,1,20
,,0,23054
