f_c_y,control,K,rows
1984,0,8,66
1984,0,9,65
1984,0,10,73
1984,0,11,76
1984,0,12,72
1984,0,13,56
1984,0,15,55
1984,0,17,58
1984,0,19,54
1984,0,21,53
1984,0,23,51
1984,0,25,45
1984,0,27,43
1984,0,29,38
1984,0,31,41
1984,0,33,34
1984,0,35,34
1987,0,-18,2
1987,0,-17,1
1987,0,-16,1
1987,0,-15,1
1987,0,-14,2
1987,0,-13,2
1987,0,-12,4
1987,0,-11,7
1987,0,-10,8
1987,0,-9,9
1987,0,-8,16
1987,0,-7,21
1987,0,-6,24
1987,0,-2,47
1987,0,-1,49
1987,0,0,61
1987,0,1,63
1987,0,2,63
1987,0,3,63
1987,0,4,64
1987,0,5,70
1987,0,6,75
1987,0,7,76
1987,0,8,77
1987,0,9,73
1987,0,10,54
1987,0,12,58
1987,0,14,56
1987,0,16,55
1987,0,18,53
1987,0,20,52
1987,0,22,50
1987,0,24,49
1987,0,26,44
1987,0,28,42
1987,0,30,39
1987,0,32,37
1988,0,-13,3
1988,0,-12,3
1988,0,-11,4
1988,0,-10,4
1988,0,-9,4
1988,0,-8,4
1988,0,-7,6
1988,0,-3,28
1988,0,-2,38
1988,0,-1,43
1988,0,0,51
1988,0,1,55
1988,0,2,57
1988,0,3,57
1988,0,4,59
1988,0,5,59
1988,0,6,62
1988,0,7,64
1988,0,8,61
1988,0,9,52
1988,0,11,56
1988,0,13,55
1988,0,15,55
1988,0,17,55
1988,0,19,52
1988,0,21,54
1988,0,23,45
1988,0,25,44
1988,0,27,43
1988,0,29,36
1988,0,31,42
1989,0,-15,1
1989,0,-14,2
1989,0,-13,5
1989,0,-12,5
1989,0,-11,8
1989,0,-10,11
1989,0,-9,12
1989,0,-8,14
1989,0,-4,28
1989,0,-3,34
1989,0,-2,43
1989,0,-1,44
1989,0,0,52
1989,0,1,57
1989,0,2,59
1989,0,3,56
1989,0,4,60
1989,0,5,59
1989,0,6,60
1989,0,7,57
1989,0,8,46
1989,0,10,46
1989,0,12,45
1989,0,14,44
1989,0,16,46
1989,0,18,48
1989,0,20,49
1989,0,22,45
1989,0,24,43
1989,0,26,39
1989,0,28,34
1989,0,30,31
1990,0,-13,2
1990,0,-12,4
1990,0,-11,4
1990,0,-10,5
1990,0,-9,6
1990,0,-5,10
1990,0,-4,11
1990,0,-3,12
1990,0,-2,20
1990,0,-1,24
1990,0,0,36
1990,0,1,38
1990,0,2,40
1990,0,3,43
1990,0,4,45
1990,0,5,45
1990,0,6,50
1990,0,7,39
1990,0,9,44
1990,0,11,44
