rep,exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p90,exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p90,no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p90,no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p90
117,3.18280305200081,9.09715106814896,28.9544401842169,4.24136321195145,307044.319850324,1302286.48265182,3.18280305200081,9.09715106814896,28.9544401842169,4.24136321195145,307044.319850324,1302286.48265182
118,3.32312472294358,7.39299098025137,24.5678311029722,4.48936170212766,259332.49040259,1164237.35053077,3.32312472294358,7.39299098025137,24.5678311029722,4.48936170212766,259332.49040259,1164237.35053077
119,3.55621466778906,7.69934194431794,27.380512754707,4.02287893231649,289404.023864167,1164237.35053077,3.55621466778906,7.69934194431794,27.380512754707,4.02287893231649,289404.023864167,1164237.35053077
120,3.51881422859172,7.80947680797887,27.4800981097731,5.16049382716049,290272.991455138,1497951.98059565,3.51881422859172,7.80947680797887,27.4800981097731,5.16049382716049,290272.991455138,1497951.98059565
121,3.31645876370571,6.96534834689506,23.1002905673232,4.91994104864289,234225.218784047,1152374.268523,3.31645876370571,6.96534834689506,23.1002905673232,4.91994104864289,234225.218784047,1152374.268523
122,3.55057973885442,6.96322110718304,24.7234717803275,5.35512820512821,215190.789908532,1152374.268523,3.55057973885442,6.96322110718304,24.7234717803275,5.35512820512821,215190.789908532,1152374.268523
123,3.6836902690155,6.71160438983788,24.7234717803275,5.79288605933848,217883.924450277,1262176.74850197,3.6836902690155,6.71160438983788,24.7234717803275,5.79288605933848,217883.924450277,1262176.74850197
124,2.6898059293431,9.09715106814896,24.469570883237,4.33062877992498,300715.334615769,1302286.48265182,2.6898059293431,9.09715106814896,24.469570883237,4.33062877992498,300715.334615769,1302286.48265182
125,3.91893362319277,6.98624313902793,27.3786231373364,4.71325395185749,263754.224334545,1243140.6401639,3.91893362319277,6.98624313902793,27.3786231373364,4.71325395185749,263754.224334545,1243140.6401639
126,3.30579316576062,7.40202718569262,24.469570883237,4.98199279711885,238812.248772474,1189760.90324822,3.30579316576062,7.40202718569262,24.469570883237,4.98199279711885,238812.248772474,1189760.90324822
127,3.70750493898464,7.28579300191372,27.0121135390148,4.41409935127355,263754.224334545,1164237.35053077,3.70750493898464,7.28579300191372,27.0121135390148,4.41409935127355,263754.224334545,1164237.35053077
128,3.27432495144899,6.41860598428269,21.0166017278566,5.0584873895207,217883.924450277,1102163.08421101,3.27432495144899,6.41860598428269,21.0166017278566,5.0584873895207,217883.924450277,1102163.08421101
129,3.45844023113554,7.40691570087657,25.616375248541,5.0561797752809,255153.543106245,1290102.18424506,3.45844023113554,7.40691570087657,25.616375248541,5.0561797752809,255153.543106245,1290102.18424506
130,3.82479182486536,7.40202718569262,28.3112130672683,4.92459016393443,252435.349700393,1243140.6401639,3.82479182486536,7.40202718569262,28.3112130672683,4.92459016393443,252435.349700393,1243140.6401639
131,3.64631938531292,7.50908240923532,27.380512754707,5.2977213317657,276655.246176996,1465642.39921676,3.64631938531292,7.50908240923532,27.380512754707,5.2977213317657,276655.246176996,1465642.39921676
132,3.69880067317998,7.40202718569262,27.3786231373364,4.30051813471503,276655.246176996,1189760.90324822,3.69880067317998,7.40202718569262,27.3786231373364,4.30051813471503,276655.246176996,1189760.90324822
133,3.25213695560846,7.8767824351199,25.616375248541,4.30051813471503,276655.246176996,1189760.90324822,3.25213695560846,7.8767824351199,25.616375248541,4.30051813471503,276655.246176996,1189760.90324822
