diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,3,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_by_age,,,,24.0,0.28,,,0.2703782122560036,0.4344568520551772,0.6137536103999051,0.023206796174000226,,,,
z_by_age,,,,25.0,-0.28,,,0.2684496200889117,0.34576240843087785,0.5199777025540562,0.0015324123115020806,,,,
z_by_age,,,,25.0,0.0,,,0.4631007598221061,0.3718518642938645,0.6879979999999999,0.00528092894337327,,,,
z_by_age,,,,25.0,0.28,,,0.2684496200889824,0.4106507218300587,0.9103106646285319,0.02445146892132493,,,,
z_by_age,,,,26.0,-0.28,,,0.26717674925863494,0.363009616692399,0.5199777025540562,0.0051079397755065615,,,,
z_by_age,,,,26.0,0.0,,,0.4656465014826767,0.4649644726646198,0.6879979999999998,0.011035805207225764,,,,
z_by_age,,,,26.0,0.28,,,0.2671767492586882,0.6251306740256294,0.9103106646285317,0.029012029004654327,,,,
z_by_age,,,,27.0,-0.28,,,0.26633665451066124,0.3852163626949497,0.5199777025540563,0.011633182277676402,,,,
z_by_age,,,,27.0,0.0,,,0.46732669097861584,0.5209009333893262,0.687998,0.026659153071001078,,,,
z_by_age,,,,27.0,0.28,,,0.26633665451072275,0.7242836513096677,0.9103106646285317,0.05495469787980024,,,,
z_by_age,,,,28.0,-0.28,,,0.2657821919769817,0.38516835948664707,0.5199777025540562,0.02757858319908957,,,,
z_by_age,,,,28.0,0.0,,,0.4684356160459467,0.500447429764,0.6879979999999999,0.06258325787545414,,,,
z_by_age,,,,28.0,0.28,,,0.2657821919770716,0.6744333888176405,0.9103106646285315,0.11208960708898087,,,,
z_by_age,,,,29.0,-0.28,,,0.26541624670471836,0.36655580440003516,0.5199777025540563,0.05071052666104608,,,,
z_by_age,,,,29.0,0.0,,,0.46916750659047174,0.44645253781525246,0.6879979999999999,0.1059027633917028,,,,
z_by_age,,,,29.0,0.28,,,0.26541624670480995,0.579801821503701,0.9103106646285317,0.17550865126439782,,,,
z_by_age,,,,30.0,-0.28,,,0.26517472282509097,0.32605487606686145,0.5199777025540561,0.08054231209693086,,,,
z_by_age,,,,30.0,0.0,,,0.4696505543497996,0.34161425643891324,0.6879980000000001,0.15963557424331765,,,,
z_by_age,,,,30.0,0.28,,,0.2651747228251093,0.21098033633363622,0.9103106646285317,0.30052583646243597,,,,
z_by_age,,,,31.0,-0.28,,,0.2650153170645397,0.2736017055752057,0.5199777025540561,0.11351811728610531,,,,
z_by_age,,,,31.0,0.0,,,0.4699693658709728,0.23790428268487596,0.6879979999999997,0.21065039830747678,,,,
z_by_age,,,,31.0,0.28,,,0.2650153170644878,0.05051910229543275,0.9103106646285317,0.37123623294684116,,,,
z_by_age,,,,32.0,-0.28,,,0.26491010926248054,0.22922011108307486,0.5199777025540563,0.14319920357237279,,,,
z_by_age,,,,32.0,0.0,,,0.4701797814749191,0.2244864431994894,0.6879979999999999,0.23301308817894745,,,,
z_by_age,,,,32.0,0.28,,,0.26491010926260045,-0.17041707407936352,0.9103106646285315,0.45195823906334276,,,,
z_by_age,,,,33.0,-0.28,,,0.2648406721131791,0.1376141648335635,0.5199777025540562,0.18354690915114424,,,,
z_by_age,,,,33.0,0.0,,,0.47031865577358833,0.048489697788596665,0.6879980000000001,0.2939704661670856,,,,
z_by_age,,,,33.0,0.28,,,0.2648406721132326,-0.2597062823416932,0.9103106646285317,0.4968125717372676,,,,
z_by_age,,,,34.0,-0.28,,,0.2647948435947331,0.05453039870723537,0.5199777025540562,0.2201507231785309,,,,
z_by_age,,,,34.0,0.0,,,0.4704103128105735,-0.005242520353889675,0.687998,0.32315954377643685,,,,
z_by_age,,,,34.0,0.28,,,0.2647948435946932,-0.29365175966629625,0.9103106646285317,0.524442240188431,,,,
z_by_age,,,,35.0,-0.28,,,0.2647645967723875,-0.033820447715269375,0.6204984517351506,0.25503671182592497,,,,
z_by_age,,,,35.0,0.0,,,0.4704708064550886,-0.1480394668497761,0.8209999999999996,0.3716859608992385,,,,
z_by_age,,,,35.0,0.28,,,0.264764596772524,-0.3394029528537554,1.0862895759290359,0.5512244130574405,,,,
z_by_age,,,,36.0,-0.28,,,0.26474463386974545,-0.14721820478723874,0.6204984517351508,0.3122282570047907,,,,
z_by_age,,,,36.0,0.0,,,0.4705107322604284,-0.1278381815223055,0.8209999999999998,0.4080829019386754,,,,
