case,age,z_index,z,timing,state_mass,valid_nodes,negative_owner_steps_all_valid,negative_owner_steps_occupied_lower,lower_node_mass_at_negative_owner_steps,largest_owner_drop_all_valid,largest_owner_drop_occupied_lower,masked_node_mass,occupied_threshold,probability_step_threshold
old_old,30,9,1.7325267692681683,current_post_tenure,0.00019956036833005772,120,4,1,8.562041711368773e-06,0.003843069076538086,0.0027821213006973267,0.0,1e-12,1e-07
old_old,30,10,0.9729441212847109,pre_fertility,0.00010771295230574719,120,5,4,5.360179184330516e-09,0.03267045319080353,0.0015879273414611816,0.0,1e-12,1e-07
old_old,30,10,0.9729441212847109,post_fertility_pre_tenure,7.442754820803823e-05,120,5,4,3.643566008599264e-09,0.03267045319080353,0.0015879273414611816,0.0,1e-12,1e-07
old_old,30,10,0.9729441212847109,current_post_tenure,5.95914972822796e-05,120,5,5,2.7726375457489452e-09,0.03267045319080353,0.03267045319080353,0.0,1e-12,1e-07
old_old,30,11,1.4744668614814156,pre_fertility,0.0003231816370464778,120,10,10,1.4418792207590548e-07,0.0013387799263000488,0.0013387799263000488,0.0,1e-12,1e-07
old_old,30,11,1.4744668614814156,post_fertility_pre_tenure,0.00022154124769826962,120,10,10,9.784550141349704e-08,0.0013387799263000488,0.0013387799263000488,0.0,1e-12,1e-07
old_old,30,11,1.4744668614814156,current_post_tenure,0.00010483089944872547,120,10,10,6.344844928169162e-08,0.0013387799263000488,0.0013387799263000488,0.0,1e-12,1e-07
old_old,30,12,2.234509133716906,pre_fertility,0.0003203022762548748,120,24,24,3.618313533846201e-06,0.0022104978561401367,0.0022104978561401367,0.0,1e-12,1e-07
old_old,30,12,2.234509133716906,post_fertility_pre_tenure,0.00021832019824181192,120,24,24,2.4550931527452418e-06,0.0022104978561401367,0.0022104978561401367,0.0,1e-12,1e-07
old_old,30,12,2.234509133716906,current_post_tenure,6.582506383783495e-05,120,24,24,1.7208442973995458e-06,0.0022104978561401367,0.0022104978561401367,0.0,1e-12,1e-07
old_old,30,13,3.3863297976379867,pre_fertility,0.00012850526665536622,120,45,45,8.627094212786712e-05,0.005502164363861084,0.005502164363861084,0.0,1e-12,1e-07
old_old,30,13,3.3863297976379867,post_fertility_pre_tenure,8.717940209506574e-05,120,45,45,5.8514377759882534e-05,0.005502164363861084,0.005502164363861084,0.0,1e-12,1e-07
old_old,30,13,3.3863297976379867,current_post_tenure,2.0992054398106508e-05,120,45,45,7.095395932775738e-06,0.005502164363861084,0.005502164363861084,0.0,1e-12,1e-07
old_old,30,14,5.131878552358484,pre_fertility,1.9297579072690652e-05,120,42,42,1.3010675263405124e-05,0.0029069185256958008,0.0029069185256958008,0.0,1e-12,1e-07
old_old,30,14,5.131878552358484,post_fertility_pre_tenure,1.303433623248263e-05,120,42,42,8.788818060809394e-06,0.0029069185256958008,0.0029069185256958008,0.0,1e-12,1e-07
old_old,30,14,5.131878552358484,current_post_tenure,4.718239879674688e-06,120,42,42,2.640087312449636e-06,0.0029069185256958008,0.0029069185256958008,0.0,1e-12,1e-07
old_old,42,0,0.11089068477824145,pre_fertility,0.00026355144732341225,82,29,14,3.2769614815650104e-06,0.14169852435588837,0.010950148105621338,0.0,1e-12,1e-07
