stage,case_id,label,candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
round1,7,coordinate_2_plus,task_007,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.030132719844799,0.15703271984479894,6.287669427540395,0.15504937016324247,0.3937630888786333
round1,7,coordinate_2_plus,task_007,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008485683779349273,-0.0003143162206507271,5165289.256198346,0.510303133079321,-0.7143550469334706
round1,7,coordinate_2_plus,task_007,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.303587279235018,-0.14452347521050202,56.95977216091135,1.1897207482760037,-1.0907432091358642
round1,8,coordinate_3_minus,task_008,tfr,1.918,1.9216822200261205,0.0036822200261206195,1425.7389910084596,0.01933123044722737,0.13903679529976
round1,8,coordinate_3_minus,task_008,childless_rate,0.188,0.18985432260308413,0.0018543226030841298,17180.743822072007,0.05907619923553926,0.24305595906198074
round1,8,coordinate_3_minus,task_008,mean_age_first_birth,26.0446272574833,26.25151300159625,0.20688574411295235,44.44444444444444,1.9022982718742223,1.379238294086349
round1,8,coordinate_3_minus,task_008,share_first_births_age30plus,0.260327401666964,0.23715584917958,-0.023171552487384006,10000.0,5.369208446755919,-2.3171552487384006
round1,8,coordinate_3_minus,task_008,housing_increment_0to1,0.7202462623815278,0.48474511085417404,-0.23550115152735374,137.5652749002964,7.629479148664931,-2.7621511813557436
round1,8,coordinate_3_minus,task_008,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.388165971004403,0.020466412194402983,2958.514988007638,1.239245090254139,1.1132138564777834
round1,8,coordinate_3_minus,task_008,own_family_gap,0.16766167,0.17177121035173287,0.00410954035173286,14229.590955975675,0.24031391260571358,0.4902182295730276
round1,8,coordinate_3_minus,task_008,own_rate,0.575472,0.49275157828534316,-0.08272042171465682,1207.8460856134493,8.26488996265646,-2.874872164576446
round1,8,coordinate_3_minus,task_008,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.323581860608723,0.5436113786667551,11.973159013172177,3.538228102766397,1.8810178369080919
round1,8,coordinate_3_minus,task_008,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.005381223449849,0.13228122344984872,6.287669427540395,0.11002366475925274,0.33169815308387346
round1,8,coordinate_3_minus,task_008,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008495575594122118,-0.0003044244058778827,5165289.256198346,0.4786891471802781,-0.6918736497224606
round1,8,coordinate_3_minus,task_008,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.3066267233259423,-0.14148403111957775,56.95977216091135,1.140205400461126,-1.0678040084496434
round1,9,coordinate_3_plus,task_009,tfr,1.918,1.921725551515302,0.0037255515153020724,1425.7389910084596,0.0197888780814613,0.14067294722675466
round1,9,coordinate_3_plus,task_009,childless_rate,0.188,0.1898605885757154,0.0018605885757153884,17180.743822072007,0.05947612454575702,0.24387727353272798
round1,9,coordinate_3_plus,task_009,mean_age_first_birth,26.0446272574833,26.251948248901147,0.20732099141784843,44.44444444444444,1.910310821443537,1.3821399427856562
round1,9,coordinate_3_plus,task_009,share_first_births_age30plus,0.260327401666964,0.23717448399066235,-0.02315291767630165,10000.0,5.360575969256013,-2.315291767630165
round1,9,coordinate_3_plus,task_009,housing_increment_0to1,0.7202462623815278,0.4471541373001058,-0.273092125081422,137.5652749002964,10.259523114399354,-3.2030490340298186
round1,9,coordinate_3_plus,task_009,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3732536944605256,0.0055541356505255934,2958.514988007638,0.09126552128250073,0.3021018392570637
round1,9,coordinate_3_plus,task_009,own_family_gap,0.16766167,0.16411681943931283,-0.0035448505606871794,14229.590955975675,0.17880854899781123,-0.4228575989595212
round1,9,coordinate_3_plus,task_009,own_rate,0.575472,0.5900343774526485,0.014562377452648545,1207.8460856134493,0.25613926766319695,0.5061020328581944
round1,9,coordinate_3_plus,task_009,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.331289414926003,0.5513189329840351,11.973159013172177,3.6392724035831496,1.9076877112313613
round1,9,coordinate_3_plus,task_009,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.05384702813371,0.1807470281337098,6.287669427540395,0.20541494203754748,0.45322725209054615
round1,9,coordinate_3_plus,task_009,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008474344875508091,-0.0003256551244919092,5165289.256198346,0.5477854344413267,-0.7401252829361571
round1,9,coordinate_3_plus,task_009,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.301406806247398,-0.14670394819812227,56.95977216091135,1.2258909742637147,-1.1071996090424323
round1,10,coordinate_4_minus,task_010,tfr,1.918,1.9217055432859507,0.003705543285950741,1425.7389910084596,0.019576894861036084,0.13991745731336058
round1,10,coordinate_4_minus,task_010,childless_rate,0.188,0.18991048455073592,0.0019104845507359192,17180.743822072007,0.06270887684983692,0.2504174052453961
round1,10,coordinate_4_minus,task_010,mean_age_first_birth,26.0446272574833,26.25209089366175,0.20746363617845276,44.44444444444444,1.9129404593949073,1.3830909078563518
round1,10,coordinate_4_minus,task_010,share_first_births_age30plus,0.260327401666964,0.2371810441188677,-0.023146357548096297,10000.0,5.357538677443143,-2.3146357548096295
round1,10,coordinate_4_minus,task_010,housing_increment_0to1,0.7202462623815278,0.4683731952206047,-0.25187306716092306,137.5652749002964,8.7271468120583,-2.95417447217633
round1,10,coordinate_4_minus,task_010,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3804549714353822,0.012755412625382212,2958.514988007638,0.48135201941176853,0.6937953728670785
round1,10,coordinate_4_minus,task_010,own_family_gap,0.16766167,0.16972425651517753,0.002062586515177517,14229.590955975675,0.06053642419587376,0.24604150909119737
round1,10,coordinate_4_minus,task_010,own_rate,0.575472,0.544302790885695,-0.031169209114304985,1207.8460856134493,1.1734461421052524,-1.0832571911163353
round1,10,coordinate_4_minus,task_010,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.303427926169898,0.5234574442279305,11.973159013172177,3.280737714054796,1.8112806833991235
round1,10,coordinate_4_minus,task_010,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.029676648595413,0.1565766485954132,6.287669427540395,0.15415005601918289,0.39261947992831797
round1,10,coordinate_4_minus,task_010,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008482185800502777,-0.0003178141994972239,5165289.256198346,0.5217245113742831,-0.722304998857327
round1,10,coordinate_4_minus,task_010,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.253519777776789,-0.19459097666873104,56.95977216091135,2.156818694247953,-1.4686111446696681
